,0
1315,0.10714286
1316,0.10714286
1317,0.25
1318,0.071428575
1319,0.4642857
1320,0.10714286
1321,0.071428575
1322,0.35714287
1323,0.10714286
1324,0.0
1325,0.0
1326,0.25
1327,0.60714287
1328,0.035714287
1329,0.42857143
1330,0.0
1331,0.42857143
1332,0.17857143
1333,0.25
1334,0.071428575
1335,0.035714287
1336,0.0
1337,0.0
1338,0.0
1339,0.071428575
1340,0.0
1341,0.25
1342,0.0
1343,0.0
1344,0.21428572
1345,0.035714287
1346,0.0
1347,0.10714286
1348,0.0
1349,0.071428575
1350,0.0
1351,0.0
1352,0.0
1353,0.035714287
1354,0.0
1355,0.035714287
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.10714286
1369,0.4642857
1370,0.39285713
1371,1.2857143
1372,0.64285713
1373,1.2142857
1374,0.32142857
1375,0.71428573
1376,0.071428575
1377,0.8214286
1378,0.21428572
1379,0.14285715
1380,3.107143
1381,0.035714287
1382,0.35714287
1383,3.75
1384,0.25
1385,0.10714286
1386,0.0
1387,0.53571427
1388,0.10714286
1389,0.71428573
1390,0.21428572
1391,0.5714286
1392,0.14285715
1393,0.6785714
1394,0.035714287
1395,0.35714287
1396,0.035714287
1397,0.071428575
1398,2.0357144
1399,0.0
1400,0.071428575
1401,1.6785715
1402,0.0
1403,0.035714287
1404,0.035714287
1405,0.17857143
1406,0.14285715
1407,0.39285713
1408,0.2857143
1409,0.21428572
1410,0.21428572
1411,0.14285715
1412,0.14285715
1413,0.39285713
1414,0.035714287
1415,0.035714287
1416,1.0714285
1417,0.0
1418,0.071428575
1419,0.64285713
1420,0.10714286
1421,0.035714287
1422,0.035714287
1423,0.035714287
1424,0.4642857
1425,0.8214286
1426,0.14285715
1427,0.96428573
1428,0.0
1429,0.60714287
1430,0.035714287
1431,0.64285713
1432,0.17857143
1433,0.17857143
1434,1.0357143
1435,0.0
1436,0.035714287
1437,0.89285713
1438,0.10714286
1439,0.035714287
1440,0.071428575
1441,0.21428572
1442,0.21428572
1443,0.035714287
1444,0.0
1445,0.17857143
1446,0.17857143
1447,0.5
1448,0.0
1449,0.5
1450,0.0
1451,0.11121723
1452,0.60714287
1453,0.0
1454,0.035714287
1455,0.39285713
1456,0.035714287
1457,0.0
1458,0.071428575
1459,0.0
1460,0.14285715
1461,0.10714286
1462,0.035714287
1463,0.35714287
1464,0.0
1465,0.14285715
1466,0.0
1467,0.25
1468,0.035714287
1469,0.0
1470,0.2857143
1471,0.0
1472,0.071428575
1473,0.35714287
1474,0.071428575
1475,0.0
1476,0.035714287
1477,0.0
1478,0.35714287
1479,0.39285713
1480,0.14285715
1481,0.35714287
1482,0.0
1483,0.6890332
1484,0.035714287
1485,0.035714287
1486,0.035714287
1487,0.071428575
1488,0.071428575
1489,0.17857143
1490,0.10714286
1491,0.48016015
1492,0.17857143
1493,0.35714287
1494,0.0
1495,0.0
1496,0.0
1497,0.071428575
1498,0.0
1499,0.0
1500,0.0
1501,0.035714287
1502,0.0
1503,0.035714287
1504,0.0
1505,0.0
1506,0.071428575
1507,0.0
1508,0.0
1509,0.035714287
1510,0.0
1511,0.0
1512,3.1564455
1513,3.7142856
1514,0.14285715
1515,0.4642857
1516,0.2857143
1517,0.89285713
1518,1.6071428
1519,0.5714286
1520,0.0
1521,0.6785714
1522,0.55135596
1523,0.14285715
1524,2.892857
1525,1.2275369
1526,0.35714287
1527,1.0
1528,0.17857143
1529,2.107143
1530,0.10714286
1531,1.0714285
1532,0.035714287
1533,0.071428575
1534,0.21428572
1535,0.35714287
